date,sessions,conversions,conversion_rate
2025-09-01,5163,209,0.0405
2025-09-02,5172,222,0.0429
2025-09-03,5168,188,0.0364
2025-09-04,5283,212,0.0401
2025-09-05,5145,212,0.0412
2025-09-06,3158,149,0.0472
2025-09-07,3264,144,0.0441
2025-09-08,5015,190,0.0379
2025-09-09,5261,236,0.0449
2025-09-10,5210,211,0.0405
2025-09-11,5332,195,0.0366
2025-09-12,5121,217,0.0424
2025-09-13,3318,143,0.0431
2025-09-14,3194,142,0.0445
2025-09-15,5395,203,0.0376
2025-09-16,5342,194,0.0363
2025-09-17,4545,178,0.0392
2025-09-18,4971,216,0.0435
2025-09-19,5366,200,0.0373
2025-09-20,3311,135,0.0408
2025-09-21,3078,132,0.0429
2025-09-22,5228,227,0.0434
2025-09-23,5359,225,0.042
2025-09-24,5362,227,0.0423
2025-09-25,5043,195,0.0387
2025-09-26,5082,215,0.0423
2025-09-27,3037,154,0.0507
2025-09-28,2895,117,0.0404
2025-09-29,5392,244,0.0453
2025-09-30,5326,231,0.0434
2025-10-01,5556,226,0.0407
2025-10-02,4844,190,0.0392
2025-10-03,5438,199,0.0366
2025-10-04,3108,139,0.0447
2025-10-05,3021,139,0.046
2025-10-06,5345,256,0.0479
2025-10-07,5354,209,0.039
2025-10-08,5059,194,0.0383
2025-10-09,5438,213,0.0392
2025-10-10,5182,224,0.0432
2025-10-11,2919,125,0.0428
2025-10-12,2639,107,0.0405
2025-10-13,5058,213,0.0421
2025-10-14,5498,225,0.0409
2025-10-15,5265,218,0.0414
2025-10-16,5471,238,0.0435
2025-10-17,5268,200,0.038
2025-10-18,3325,150,0.0451
2025-10-19,3406,149,0.0437
2025-10-20,5688,227,0.0399
2025-10-21,5598,231,0.0413
2025-10-22,5070,190,0.0375
2025-10-23,5162,233,0.0451
2025-10-24,5404,232,0.0429
2025-10-25,2506,115,0.0459
2025-10-26,3238,137,0.0423
2025-10-27,5043,206,0.0408
2025-10-28,5631,213,0.0378
2025-10-29,5093,229,0.045
2025-10-30,5088,203,0.0399
2025-10-31,5224,194,0.0371
2025-11-01,3154,127,0.0403
2025-11-02,3321,146,0.044
