person,day,activity,mood
1,1,4.18,7.93
1,2,4.32,8.09
1,3,4.54,7.26
1,4,5.95,6.26
1,5,5.6,6.47
1,6,6.15,6.17
1,7,5.03,6.81
1,8,5.62,6.85
1,9,6.08,6.26
1,10,5.15,6.7
1,11,5.91,6.2
1,12,4.8,7.43
1,13,5.09,7.32
1,14,5.08,7.62
1,15,4.26,8.5
1,16,5.94,6.53
1,17,4.99,6.95
1,18,5.47,6.27
1,19,5.94,6.5
1,20,5.9,6.26
1,21,6.12,6.18
1,22,5.36,6.74
1,23,5.03,7.12
1,24,5.38,7.15
1,25,3.77,8.21
1,26,4.01,7.94
1,27,4.13,7.62
1,28,4.46,7.2
1,29,5.86,6.38
1,30,4.55,7.53
1,31,5.08,7.56
1,32,6.76,5.81
1,33,5.1,7.35
1,34,6.19,6.1
1,35,4.52,7.27
1,36,5.25,6.74
1,37,4.51,7.4
1,38,5.12,7.62
1,39,6.3,5.94
1,40,3.73,8.41
1,41,5.89,6.24
1,42,5.69,6.86
1,43,4.86,7.39
1,44,4.01,7.93
1,45,5.53,6.75
1,46,4.93,7.08
1,47,5.69,6.74
1,48,5.48,6.69
1,49,7.06,5.23
1,50,5.22,6.69
1,51,4.43,7.68
1,52,5.64,7.07
1,53,5.68,6.68
1,54,6.82,5.7
1,55,6.29,6.22
2,1,4.75,3.5
2,2,3.66,3.99
2,3,3.03,4.99
2,4,4.55,3.56
2,5,3.87,4.23
2,6,4.98,3.26
2,7,3.62,4.54
2,8,2.22,5.25
2,9,2.07,5.43
2,10,5.09,3.92
2,11,5.16,3.01
2,12,3.26,4.58
2,13,3.06,5.47
2,14,4.9,4.26
2,15,2.33,5.3
2,16,2.55,5.33
2,17,4.08,4.28
2,18,3.05,5.45
2,19,3.43,4.46
2,20,3.28,4.78
2,21,3.78,4.63
2,22,4.85,3.69
2,23,3.53,4.54
2,24,4.08,4.16
2,25,1.39,6.0
2,26,3.39,4.69
2,27,2.6,5.31
2,28,2.22,5.74
2,29,2.56,5.27
2,30,3.11,5.09
2,31,4.36,4.23
2,32,2.11,5.81
2,33,3.47,4.77
2,34,2.96,5.11
2,35,3.11,4.97
2,36,4.44,3.72
2,37,3.98,4.36
2,38,4.78,3.61
2,39,3.29,5.35
2,40,2.74,5.66
2,41,3.22,4.98
2,42,3.68,4.32
2,43,3.62,4.29
2,44,2.36,5.87
2,45,3.53,4.7
2,46,3.67,4.64
2,47,5.96,2.26
2,48,5.32,3.44
2,49,2.59,5.5
2,50,3.15,4.66
2,51,1.98,5.76
2,52,2.85,5.24
2,53,3.76,4.47
2,54,4.65,3.67
2,55,2.71,5.26
3,1,5.87,6.25
3,2,6.28,6.29
3,3,7.6,5.54
3,4,3.56,8.22
3,5,5.89,7.12
3,6,6.3,6.52
3,7,6.42,6.54
3,8,5.75,6.72
3,9,4.37,8.17
3,10,6.45,6.57
3,11,7.85,5.24
3,12,4.59,7.85
3,13,6.99,5.94
3,14,5.8,6.61
3,15,6.06,6.58
3,16,5.07,7.37
3,17,5.79,6.93
3,18,7.43,5.77
3,19,6.71,5.83
3,20,7.86,5.15
3,21,7.3,5.99
3,22,6.56,6.03
3,23,7.87,4.96
3,24,6.56,6.26
3,25,6.95,6.11
3,26,5.83,6.8
3,27,6.19,6.84
3,28,5.43,7.34
3,29,7.12,5.98
3,30,4.95,7.65
3,31,6.91,6.52
3,32,5.94,6.67
3,33,7.3,5.13
3,34,6.88,6.36
3,35,7.95,4.99
3,36,6.86,6.01
3,37,4.55,8.15
3,38,6.06,6.22
3,39,4.95,7.19
3,40,5.61,6.58
3,41,7.64,5.16
3,42,6.76,6.16
3,43,5.43,7.25
3,44,5.11,7.44
3,45,6.16,6.19
3,46,4.91,6.96
3,47,5.45,7.11
3,48,6.44,6.2
3,49,7.28,5.76
3,50,6.73,6.25
3,51,3.83,8.43
3,52,6.43,6.51
3,53,6.2,6.56
3,54,6.54,6.37
3,55,7.74,5.1
4,1,6.23,6.98
4,2,6.61,6.91
4,3,7.23,5.93
4,4,6.02,7.2
4,5,6.93,6.38
4,6,6.15,7.09
4,7,6.29,6.68
4,8,7.24,5.74
4,9,4.42,7.88
4,10,5.11,7.56
4,11,4.93,7.87
4,12,4.08,8.59
4,13,5.73,7.83
4,14,7.16,6.48
4,15,6.13,6.79
4,16,6.61,6.73
4,17,7.5,5.83
4,18,7.74,5.67
4,19,6.34,6.9
4,20,7.76,5.87
4,21,6.5,6.64
4,22,5.57,7.73
4,23,5.82,6.99
4,24,4.93,7.98
4,25,5.52,8.16
4,26,6.05,7.14
4,27,7.21,6.51
4,28,8.13,5.45
4,29,5.03,8.05
4,30,6.8,6.47
4,31,5.37,7.59
