.universe,outliers,covariate,transformation,.error,estimate,raw_estimate,p_value,ci_low,ci_high,n
0,none,none,raw,,0.7494151971346747,8.606666666666662,2.2801871019949903e-05,0.413023527904615,1.0858068663647344,120
1,none,none,log,,0.631036098321017,0.12348076379341699,0.00042223567251479784,0.2866668830393396,0.9754053136026944,120
2,none,wellbeing_pre,raw,,0.8241094894060742,9.464494047190122,3.9019697909003104e-06,0.4873230071797958,1.1608959716323526,120
3,none,wellbeing_pre,log,,0.7016783496662949,0.1373039970052894,0.0001043965406941251,0.3557750421514866,1.0475816571811034,120
4,3sd,none,raw,,0.8808042445315335,9.453531073446305,4.763949566804824e-07,0.5537470879875316,1.2078614010755353,119
5,3sd,none,log,,0.880574473195168,0.14438452389801437,4.800586252011809e-07,0.5534965760174532,1.2076523703728828,119
6,3sd,wellbeing_pre,raw,,0.9582743640839414,10.285005475391094,5.314138840878322e-08,0.6321931733679255,1.2843555547999572,119
7,3sd,wellbeing_pre,log,,0.9611611326669447,0.15759801896805037,4.627522309513002e-08,0.6357663289786365,1.286555936355253,119
8,2.5sd,none,raw,,0.8670638545346603,8.984770114942508,8.376181374084613e-07,0.537307025463196,1.1968206836061246,118
9,2.5sd,none,log,,0.880574473195168,0.14438452389801437,4.800586252011809e-07,0.5534965760174532,1.2076523703728828,119
10,2.5sd,wellbeing_pre,raw,,0.9451596892721359,9.794022073008891,9.945310264110081e-08,0.6159950945651285,1.2743242839791433,118
11,2.5sd,wellbeing_pre,log,,0.9611611326669447,0.15759801896805037,4.627522309513002e-08,0.6357663289786365,1.286555936355253,119
