labels,chunks
house,0
face,0
house,0
face,0
house,0
house,0
face,0
house,0
face,0
face,0
house,0
face,0
house,0
house,0
face,0
face,0
house,0
face,0
house,0
face,0
house,1
face,1
face,1
face,1
face,1
face,1
face,1
house,1
face,1
house,1
face,1
house,1
house,1
face,1
house,1
house,1
house,1
face,1
house,1
house,1
house,2
face,2
face,2
house,2
face,2
house,2
face,2
face,2
house,2
face,2
house,2
house,2
house,2
house,2
face,2
house,2
face,2
face,2
face,2
house,2
house,3
face,3
house,3
face,3
face,3
house,3
face,3
face,3
house,3
house,3
house,3
house,3
face,3
house,3
face,3
face,3
house,3
face,3
face,3
house,3
house,4
house,4
face,4
house,4
face,4
face,4
face,4
house,4
face,4
face,4
house,4
face,4
house,4
house,4
house,4
house,4
face,4
house,4
face,4
face,4
face,5
face,5
face,5
house,5
house,5
house,5
face,5
face,5
face,5
house,5
face,5
face,5
house,5
face,5
house,5
house,5
house,5
house,5
house,5
face,5
