trial_type	onset	duration
house	-0.06891603005074742	1.0
house	4.173894051295948	1.0
house	10.255007250143466	1.0
face	14.59185214270687	1.0
face	19.444859999538956	1.0
house	23.742566951658347	1.0
house	30.102916747464533	1.0
house	34.357743220942396	1.0
face	39.735516637739025	1.0
face	43.821513627280716	1.0
face	49.9204757826789	1.0
face	55.307849041663935	1.0
face	58.55577664937717	1.0
face	64.4892081758203	1.0
face	70.92715142465084	1.0
face	76.88878481501818	1.0
house	80.56869626118821	1.0
face	85.53893700113859	1.0
house	92.45135012522881	1.0
house	98.79299779786433	1.0
face	105.0739438182004	1.0
face	108.26448398752338	1.0
house	111.8138360871838	1.0
face	117.45626183012016	1.0
face	121.59218872249662	1.0
house	125.33386968409981	1.0
face	130.84559515046553	1.0
house	137.67677083058635	1.0
house	141.8317316864281	1.0
face	148.35608173153457	1.0
face	154.2926526207964	1.0
house	160.02320328301928	1.0
house	163.4632817578773	1.0
face	169.43864364200996	1.0
house	174.37598081208534	1.0
house	178.81230930599088	1.0
house	184.04750092899366	1.0
face	191.03396872334392	1.0
house	196.15510699599997	1.0
house	201.23476872184125	1.0
