self_competence,informant_competence,wellbeing
5,5,4.05
4,3,3.88
4,4,4.57
6,5,6.07
3,3,3.37
3,2,4.58
4,3,4.09
4,4,4.75
3,4,4.07
3,4,4.27
5,5,4.71
5,5,5.67
5,3,2.83
4,5,4.98
4,4,4.11
4,2,2.76
4,3,3.36
2,4,3.07
5,5,5.67
5,3,3.05
4,4,4.38
4,4,3.83
6,3,1.36
5,3,2.14
4,3,3.45
6,5,4.74
4,5,5.09
3,5,4.79
6,4,3.05
4,4,5.36
6,6,5.25
5,4,4.21
2,4,3.06
2,3,3.74
3,5,3.17
4,5,4.06
4,5,3.46
4,4,3.57
3,2,4.09
4,3,3.83
3,6,1.14
5,5,4.81
3,3,4.68
5,3,3.21
5,4,3.91
4,5,5.04
5,6,5.55
4,5,4.6
5,4,4.88
4,3,4.75
4,4,5.18
5,4,4.67
3,2,4.06
3,5,3.41
4,5,3.64
3,4,4.42
4,3,3.19
6,6,4.62
2,4,3.58
4,5,4.8
1,3,3.39
2,4,2.64
4,5,3.61
5,5,4.66
4,5,4.36
5,3,3.15
5,4,4.98
5,3,2.88
5,4,4.51
5,5,4.21
3,4,4.27
2,4,2.8
3,3,3.75
3,6,1.36
3,4,3.89
4,5,4.14
4,3,5.06
6,4,3.34
4,5,4.15
4,3,2.74
4,4,3.96
4,3,3.84
4,5,3.89
2,4,3.63
4,3,3.9
4,5,5.07
3,4,4.04
3,4,4.02
4,4,4.45
5,4,4.3
5,4,5.33
4,3,2.61
4,4,3.3
5,4,3.97
2,1,3.41
1,2,3.81
4,3,4.28
3,4,3.77
5,5,5.41
3,3,4.82
4,3,4.11
6,4,3.98
5,4,4.46
6,5,4.26
3,4,4.42
4,5,4.37
4,3,4.0
3,3,5.08
5,5,3.33
2,2,3.05
5,4,3.59
4,4,4.28
2,4,2.65
1,2,2.5
3,4,3.41
3,4,3.48
4,4,5.97
6,4,4.48
6,6,4.85
3,3,3.98
3,3,3.51
4,5,3.16
4,3,3.93
6,4,2.8
5,3,3.05
4,4,3.54
6,5,4.14
2,3,3.79
3,4,4.22
5,1,-1.15
4,4,3.71
4,4,5.01
5,4,3.82
4,3,4.38
2,2,3.89
3,2,2.87
4,4,4.31
5,6,4.82
5,7,4.07
7,7,5.32
5,6,5.52
3,3,4.8
2,3,3.55
5,4,4.75
3,3,5.36
4,4,5.68
2,6,-1.84
4,5,3.74
3,5,3.99
3,5,2.47
5,4,3.51
4,3,3.71
2,3,3.95
2,4,2.74
2,4,2.41
5,6,4.2
6,4,2.97
5,5,4.27
3,2,5.07
3,3,4.38
2,2,4.43
3,2,3.41
6,6,4.99
3,3,3.77
5,4,2.71
3,4,3.17
5,4,3.21
4,4,3.15
5,3,2.38
5,4,5.09
3,4,3.97
4,4,5.27
5,4,4.55
3,3,4.67
4,1,0.36
4,3,4.31
7,6,5.34
4,4,4.15
4,4,4.84
6,4,3.74
5,5,4.47
3,5,2.43
3,3,3.49
5,4,4.35
3,4,4.2
6,6,4.62
4,5,4.32
4,2,3.14
1,1,3.97
5,4,5.23
4,5,5.07
3,3,3.6
4,3,5.01
5,5,4.48
3,3,4.83
3,4,4.04
5,4,4.05
3,3,3.12
5,4,4.2
4,3,3.06
5,5,5.38
6,5,5.51
4,4,4.02
6,6,5.28
2,1,2.96
4,6,3.02
3,3,4.66
2,2,3.88
2,3,4.74
3,3,3.91
5,4,4.9
3,3,4.26
4,4,4.98
3,3,3.93
4,4,4.47
6,6,5.03
4,6,2.9
5,6,5.0
4,5,4.69
3,2,4.06
3,4,4.92
4,4,5.37
4,4,4.28
2,2,4.12
4,4,4.13
3,6,1.51
7,6,4.54
7,6,5.87
3,3,4.42
4,4,4.37
1,3,3.22
2,4,1.5
4,5,3.09
4,7,2.28
4,4,4.54
5,4,4.45
1,1,2.8
3,4,3.99
3,4,5.2
5,4,4.79
2,3,3.8
4,5,4.04
4,3,3.76
1,3,1.22
5,6,4.75
2,2,4.41
2,3,2.75
6,3,1.1
7,7,4.71
1,1,3.02
4,2,2.83
4,5,3.05
7,6,5.27
3,2,4.15
3,3,4.05
5,6,3.11
5,4,3.7
4,5,5.04
3,4,2.33
3,3,3.99
3,5,2.39
4,4,4.98
3,3,3.79
4,3,4.24
4,4,4.84
4,4,5.6
5,4,4.18
5,4,4.53
4,5,3.41
5,4,5.01
3,3,3.74
4,4,4.16
4,4,4.49
6,7,3.96
6,5,4.74
4,4,5.08
3,4,4.18
4,3,3.05
4,4,4.43
2,5,1.65
6,5,3.47
4,1,0.26
5,5,5.33
3,5,3.26
3,3,4.45
3,4,5.12
4,3,4.28
3,4,4.39
4,3,5.63
4,4,4.37
3,4,3.52
5,5,5.06
7,7,5.66
2,2,3.58
3,4,3.38
4,4,5.89
5,5,5.0
2,4,2.36
2,2,4.45
4,5,4.23
7,6,4.75
2,2,4.24
6,5,3.82
3,4,4.21
4,4,5.65
3,3,4.48
3,4,3.77
5,5,4.5
6,5,4.35
5,6,4.45
4,4,4.27
4,6,3.95
5,5,3.76
4,3,4.52
5,4,4.07
2,3,3.93
3,4,3.32
4,3,4.8
5,5,5.55
1,3,3.08
5,5,3.89
4,4,5.0
5,5,5.04
4,5,3.34
6,4,3.39
5,4,4.52
4,1,1.23
4,4,4.61
3,3,4.37
3,4,4.88
6,6,5.84
5,5,3.08
4,3,3.81
3,3,4.1
4,4,3.45
2,3,3.76
4,4,5.25
6,4,2.75
5,6,4.8
4,5,3.75
2,1,3.0
4,5,5.19
5,5,4.47
3,4,4.28
5,5,3.68
1,1,4.72
2,3,4.06
4,5,4.19
2,2,4.25
5,6,3.75
